constructorId,constructorRef,AVG(p.milliseconds)
209,manor,26166.1987
164,hrt,26086.3133
214,alpine,25598.2542
51,alfa,25520.9602
210,haas,25402.9176
213,alphatauri,25218.7566
117,aston_martin,25139.2698
211,racing_point,25137.2966
206,marussia,24810.3777
15,sauber,24776.4622
207,caterham,24749.3817
3,williams,24519.7115
205,lotus_racing,24444.2118
5,toro_rosso,24390.1962
166,virgin,24236.1948
4,renault,24161.0248
1,mclaren,24080.6229
208,lotus_f1,24031.3719
10,force_india,23869.6355
6,ferrari,23839.5573
9,red_bull,23577.6851
131,mercedes,23546.9700
